"storeid","storenumber","storedisplayname","termid","termname","termnumber","programid","programname","campusid","campusname","department","departmentname","division","divisionname","courseid","coursename","section","sectionname","instructor","schoolname","cmid","mtcid","bookimage","title","edition","author","isbn","materialtype","requirementtype","publisher","publishercode","productcatentryid","copyrightyear","pricerangedisplay"
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888634","1073","FA01","FA01","Paul Alexander Arnold","Acadia University","8088863478170634","31425414","//bkstr.scene7.com/is/image/Bkstr/9780134204482","Intro to Professional Engineering in Canada (CANDADIAN)","5th","Andrews","9780134204482","TXT","RQ","Pearson Education Canada","PEC","78170634","2018","$99.75 to $133.00"
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888723","1220L","FA01","FA01","V. Gary Bustin","Acadia University","","","","","","","","","","","","","",""
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888803","1220L","FA02","FA02","V. Gary Bustin","Acadia University","","","","","","","","","","","","","",""
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888927","1220L","FA03","FA03","V. Gary Bustin","Acadia University","","","","","","","","","","","","","",""
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888389","1220L","FA04","FA04","V. Gary Bustin","Acadia University","","","","","","","","","","","","","",""
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888848","1223","FA01","FA01","Martin S Tango","Acadia University","80888848106723024","45983067","//bkstr.scene7.com/is/image/Bkstr/9781630574307","Technical Drawing 101 with AutoCAD 2022","N/A","Fuller","9781630574307","TXT","RQ","SDC Publications","SCHR","106723024","2022","$74.25"
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888266","2110L","FA01","FA01","Paul Alexander Arnold","Acadia University","","","","","","","","","","","","","",""
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888922","2110L","FA02","FA02","Angelo Posteraro","Acadia University","","","","","","","","","","","","","",""
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888969","2113","FA01","FA01","Paul Alexander Arnold","Acadia University","8088896978538430","34301448","//bkstr.scene7.com/is/image/Bkstr/9781260092684","Thermodynamics","9th","Cengel","9781260092684","TXT","CH","McGraw Hill Ryerson Ltd","MCGRW","78538430","2018","$71.00 to $119.00"
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888969","2113","FA01","FA01","Paul Alexander Arnold","Acadia University","80888969108667284","47128415","//bkstr.scene7.com/is/image/Bkstr/9781260092684","ISE eBook Online Access for Thermodynamics: An Engineering Approach","9th","CENGEL","9781260289183","CEB","CH","McGraw Hill Ryerson Ltd","MCGRW","108667284","","$71.00 to $119.00"
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888969","2113","FA01","FA01","Paul Alexander Arnold","Acadia University","80888969108667500","47128414","//bkstr.scene7.com/is/image/Bkstr/9781260092684","ISE eBook Online Access for Thermodynamics: An Engineering Approach","9th","CENGEL","9781260289183","CEB","CH","McGraw Hill Ryerson Ltd","MCGRW","108667500","","$71.00 to $119.00"
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888969","2113","FA01","FA01","Paul Alexander Arnold","Acadia University","8088896978564884","34407783","//bkstr.scene7.com/is/image/Bkstr/9781260306408","THERMODYNAMICS: AN ENGINEERING APPROACH 9E CONNECT (2 YR ACCESS)","9th","CENGEL","9781260306408","CEB","CH","McGraw Hill Ryerson Ltd","MCGRW","78564884","","$131.00"
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888382","2210L","FA01","FA01","Andrew Mitchell","Acadia University","","","","","","","","","","","","","",""
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888448","2210L","FA02","FA02","Angelo Posteraro","Acadia University","","","","","","","","","","","","","",""
"16379","921","Acadia University Bookstore","100070921","Fall 2021","2021FA","1798","Main","1503","All","APSC","APSC",""," ","80888984","2210L","FA03","FA03","Andrew Mitchell","Acadia University","","","","","","","","","","","","","",""
